index,RACH_ID,PLU,DATA,IL,CSNJ_B,WART,time_rounded_DATA,hour,minute,time,date
129297,100000067961,4,2018-09-01 12:27:00,1.0,11.8,11.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129298,100000067961,9,2018-09-01 12:27:00,1.0,18.8,18.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129299,100000067961,6,2018-09-01 12:27:00,1.0,19.8,19.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129300,100000067961,500,2018-09-01 12:27:00,1.0,3.8,3.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129301,100000067962,4,2018-09-01 12:30:00,1.0,11.8,11.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129302,100000067962,6,2018-09-01 12:30:00,1.0,19.8,19.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129303,100000067962,6,2018-09-01 12:30:00,1.0,19.8,19.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129304,100000067962,502,2018-09-01 12:30:00,1.0,3.8,3.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129305,100000067962,502,2018-09-01 12:30:00,1.0,3.8,3.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129306,100000067962,502,2018-09-01 12:30:00,1.0,3.8,3.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129307,100000067962,711,2018-09-01 12:31:00,1.0,5.0,5.0,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129308,100000067963,101,2018-09-01 12:31:00,1.0,17.8,17.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129309,100000067963,711,2018-09-01 12:31:00,1.0,5.0,5.0,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129310,100000067963,803,2018-09-01 12:32:00,1.0,0.6,0.6,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129311,100000067955,4,2018-09-01 12:39:00,1.0,11.8,11.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129312,100000067965,9,2018-09-01 12:41:00,1.0,18.8,18.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129313,100000067965,5,2018-09-01 12:42:00,1.0,16.8,16.8,2018-09-01 12:30:00,12.0,0.5,12.5,2018-09-01
129314,100000067965,715,2018-09-01 12:45:00,1.0,2.9,2.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129315,100000067965,716,2018-09-01 12:45:00,1.0,2.9,2.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
